code,type,message,desc,key
4008,0,"","获取用户信息失败","MINES_GET_USER_INFO_FAILED"
4009,0,"","获取房间信息失败","MINES_GET_ROOM_INFO_FAILED"
4010,0,"","获取游戏信息失败","MINES_GET_GAME_INFO_FAILED"
4011,0,"","玩家不在任何房间中","MINES_PLAYER_NOT_IN_ANY_ROOM"
4012,0,"","玩家已在房间中","MINES_PLAYER_IN_ROOM"
4013,0,"","房间类型无效","MINES_ROOM_TYPE_INVALID"
4014,0,"","玩家类型无效","MINES_PLAYER_TYPE_INVALID"
4015,0,"","座位号无效","MINES_SEAT_INVALID"
4016,0,"","座位已被占用","MINES_SEAT_OCCUPIED"
4017,0,"","玩家已准备","MINES_IS_READY"
4018,0,"","玩家未准备","MINES_NOT_READY"
4019,0,"","格子ID无效","MINES_CELL_ID_INVALID"
4020,0,"","格子已打开","MINES_CELL_ALREADY_OPEN"
4021,0,"","不能打开雷达标记的格子","MINES_CELL_RADAR_SIGN_CANNOT_OPEN"
4022,0,"","结束游戏失败","MINES_END_GAME_FAILED"
4501,0,"","获取用户信息失败","BATO_GET_USER_INFO_FAILED"
4502,0,"","玩家不在任何房间中","BATO_PLAYER_NOT_IN_ANY_ROOM"
4503,0,"","房间无效","BATO_ROOM_NOT_FOUND"
4504,0,"","房间人数已满","BATO_ROOM_MAX_PLAYER_REACHED"
4505,0,"","玩家不存在","BATO_PLAYER_NOT_FOUND"
4506,0,"","出牌失败","BATO_DRAW_CARD_FAILED"
4507,0,"","房间未处于等待状态","BATO_ROOM_NOT_WAITING"
4508,0,"","玩家已经准备","BATO_PLAYER_ALREADY_READY"
4509,0,"","旁观玩家无法操控游玩数据","BATO_WATCHERS_PLAYING_ERR"
4510,0,"","阶段错误","BATO_STAGE_FAILED"
4511,0,"","玩家已出过牌","BATO_PLAYER_HAS_DRAW"
4512,0,"","倒计时结束，无法出牌","BATO_DRAW_TIME_OUT"
5001,0,"","吃牌失败","TONGITS_EAT_CARD_FAILED"
5002,0,"","手牌不存在","TONGITS_CARD_NOT_EXIST"
5003,0,"","无法组成牌型","TONGITS_CANNOT_FORM_TYPE"
5004,0,"","碰牌不存在","TONGITS_MELDS_NOT_EXIST"
5005,0,"","非当前操作玩家","TONGITS_NOT_CURRENT_PLAYER"
5006,0,"","非当前阶段","TONGITS_NOT_CURRENT_PHASE"
5007,0,"","无法挑战","TONGITS_CANNOT_CHALLENGE"
5008,0,"","挑战失败","TONGITS_CHALLENGE_FAILED"
5009,0,"","无法tongits胜利","TONGITS_CANNOT_WIN"
5501,0,"","加入房间失败","UNLEASH_JOIN_ROOM_FAILED"
5502,0,"","开始游戏失败","UNLEASH_START_GAME_FAILED"
5503,0,"","重置游戏失败","UNLEASH_RESET_GAME_FAILED"
5504,0,"","开跑失败","UNLEASH_RUN_FAILED"
5505,0,"","站住失败","UNLEASH_HALT_FAILED"
5506,0,"","游戏状态无效","UNLEASH_GAME_STATUS_INVALID"
5507,0,"","玩家状态无效","UNLEASH_PLAYER_STATUS_INVALID"
6001,0,"","加入房间失败","COLOR_JOIN_ROOM_FAILED"
6002,0,"","无效的打码颜色","COLOR_INVALID_BET_COLOR_AREA"
6003,0,"","无效的打码金额","COLOR_INVALID_BET_AMOUNT"
6004,0,"","当前游戏状态无法撤销","COLOR_GAME_STATE_CANNOT_CANCEL_BET"
6005,0,"","无打码记录，无法撤销","COLOR_NO_BET_RECORD_CANNOT_CANCEL_BET"
6006,0,"","玩家打码已超出区域打码上限","COLOR_AREA_BET_LIMIT_EXCEEDED"
6007,0,"","玩家无法参与 Double Up Bonus","COLOR_CAN_NOT_JOIN_DOUBLEUPBONUS"
6501,0,"","游戏状态无效","PUSOY_GAME_STATUS_INVALID"
6502,0,"","索引超出范围","PUSOY_INDEX_OUT_RANGE"
6503,0,"","已准备","PUSOY_HAS_READY"
6504,0,"","游戏数据错误","PUSOY_GAME_DATA_ERROR"
